CustomerID,ProductID,TransactionDate,Quantity,Discount
737,275,2024-03-18,2,0.008976860444179625
517,625,2023-04-13,1,0.01712404062624535
369,685,2023-10-11,1,0.011499697599331527
226,668,2023-08-03,1,0.06956376007728281
683,306,2023-09-07,3,0.016008690127231006
565,74,2023-06-04,1,0.024992526626673863
918,277,2024-03-07,1,0.03283558716359566
200,966,2024-03-26,1,0.009739630100028252
875,531,2023-10-07,3,0.017664699802415775
771,495,2023-11-14,2,0.029798435752370192
815,498,2023-05-18,3,0.0601514472340641
2,717,2023-07-30,1,0.0004827403859166135
205,470,2024-03-24,3,0.0034080194523339216
58,137,2023-09-23,1,0.020154286855155967
899,528,2023-06-29,1,0.0880779873839971
705,667,2024-02-12,2,0.004792867695227732
665,416,2023-06-10,3,0.048906219752355255
164,975,2023-12-28,1,0.04279744884407443
620,826,2023-04-24,3,0.06726849529252434
181,379,2023-05-20,1,0.03352426960483048
333,900,2023-04-10,2,0.08410801464110373
307,831,2023-11-28,3,0.07779784313247723
73,677,2023-12-26,1,0.03586161232066395
271,179,2023-08-04,2,0.08670456955562493
485,383,2023-12-28,2,0.0605428723108999
27,666,2023-05-28,3,0.07698483876160855
574,844,2023-10-29,2,0.03619748932554082
967,980,2024-01-04,2,0.0924443866200164
883,855,2023-07-20,3,0.059910120971481566
862,239,2024-01-01,2,0.0960259416040166
463,102,2024-01-07,1,0.04483065738588149
450,585,2024-03-06,1,0.02728517198720435
726,109,2023-09-27,2,0.053751206817976994
971,445,2023-06-11,2,0.03638783267973813
102,847,2023-10-10,3,0.09733351419969273
239,942,2024-01-09,2,0.06411635590908747
32,910,2024-02-09,2,0.028331232154586085
416,713,2023-08-30,2,0.0750323660552023
945,328,2023-08-21,2,0.01943813795226438
826,321,2023-06-29,2,0.050263811795301885
511,376,2023-11-05,1,0.034184127070589564
28,454,2023-08-05,2,0.06690004257478067
271,574,2024-01-03,2,0.004537853074405096
556,537,2023-05-16,3,0.006427055427091256
951,59,2023-12-18,3,0.09517323156576543
917,381,2023-04-08,3,0.023673232577885717
776,95,2023-07-20,3,0.05099813433232423
699,20,2023-06-20,3,0.07729371124218126
598,389,2023-11-28,3,0.041704383032030536
27,696,2023-09-10,2,0.08547598299615092
661,341,2023-08-26,2,0.07864290466935991
499,946,2023-12-01,2,0.011735606785591003
76,263,2023-09-24,1,0.05420043091881802
305,268,2024-01-21,2,0.025703215995363873
134,819,2023-12-20,3,0.00017557435253983124
211,368,2024-03-21,1,0.025908301559575644
959,95,2024-01-25,1,0.019093467161802172
205,566,2023-10-29,2,0.053888309831301856
958,298,2023-10-22,1,0.04576905602728381
503,487,2023-11-04,3,0.07540912735095737
356,245,2023-09-13,3,0.05788145246503436
924,720,2024-01-11,3,0.08506234865925205
850,332,2023-04-08,3,0.06170073890751318
660,908,2024-01-21,1,0.039197173184761715
312,539,2023-09-06,3,0.036900684236732754
533,697,2023-11-26,2,0.0004838619176028569
94,296,2023-08-15,1,0.05037068890516543
649,570,2023-05-09,3,0.038362610169681066
844,135,2024-02-27,3,0.03512088245134235
834,498,2023-10-29,2,0.06929492238599282
78,492,2024-01-24,3,0.018770262149216857
232,428,2024-02-08,2,0.029370401689828296
680,369,2023-04-03,2,0.06319244392845834
348,923,2023-11-30,1,0.046060818035281684
968,513,2023-05-25,1,0.050086135289191605
108,216,2023-11-27,2,0.04284107722047645
832,828,2023-12-05,1,0.013309584370969386
633,982,2023-06-08,3,0.0002309603630472501
867,737,2023-07-11,3,0.04338452926157371
662,246,2023-04-25,2,0.0474457542361707
785,143,2023-07-10,1,0.07227535815832413
223,595,2023-05-09,1,0.04114600538146249
162,494,2023-04-11,1,0.09665623557951172
742,990,2023-04-08,2,0.05704327834641601
102,72,2023-06-08,3,0.08977392987736943
880,568,2023-08-13,1,0.08385800774110033
814,789,2023-04-19,2,0.03702132168799643
445,331,2023-09-26,3,0.08402828265225099
140,626,2023-12-12,2,0.030041398271272682
997,413,2023-12-07,2,0.06604823885870695
614,716,2024-01-29,3,0.07872652651130874
781,804,2023-06-27,3,0.060731252735489016
651,33,2023-10-17,2,0.09757431377671823
56,60,2023-04-03,1,0.0061756229717471085
278,781,2023-05-02,1,0.0016331535930181218
800,40,2023-09-13,2,0.04339146222221999
589,823,2023-12-20,1,0.004108314902063892
284,705,2023-10-11,2,0.04424746526866487
823,636,2023-12-06,1,0.07335208469693731
448,354,2024-03-04,3,0.017835263259153657
470,341,2023-07-25,3,0.09650814445218253
289,997,2023-09-12,3,0.004079531072018627
731,84,2023-12-08,3,0.07791950035344974
56,666,2023-09-29,3,0.03211689508678119
590,669,2023-06-08,2,0.028793771867940868
290,436,2023-12-23,1,0.09281263885136187
163,143,2023-08-18,1,0.0820567729706082
385,668,2023-12-01,3,0.0523847900628745
901,62,2023-08-24,3,0.006298868881122955
912,805,2023-06-27,3,0.03153607157959717
222,464,2023-10-26,2,0.04543025275895153
452,527,2023-12-12,3,0.021493071924886767
66,339,2023-05-08,3,0.005697187025512785
438,485,2024-02-26,3,0.09259927251131045
658,923,2024-03-08,3,0.03822630752915649
804,50,2023-05-04,3,0.0011524289264601584
23,177,2024-01-30,2,0.05622451468153024
105,471,2024-03-24,2,0.036835666567481655
588,119,2023-08-05,3,0.024680305211213262
803,444,2024-03-04,2,0.09278859554614209
555,382,2023-09-13,3,0.01655852759663371
61,869,2023-06-05,3,0.008873349851815615
938,472,2023-08-30,1,0.026772382824572595
707,587,2023-04-03,2,0.0019502485124087922
254,802,2023-12-05,3,0.09959688832176694
374,935,2023-08-20,3,0.015164841355042835
517,156,2023-09-04,3,0.058931059065837725
817,862,2023-11-06,2,0.09476995666366199
359,212,2023-07-14,3,0.09828260781383119
235,571,2024-02-13,3,0.06609541129530778
969,387,2024-01-20,3,0.002696837194539481
194,905,2024-03-24,2,0.04126653286992962
137,724,2024-02-14,3,0.0793022752786896
698,536,2023-12-11,2,0.06724916011857807
784,180,2023-12-21,1,0.08962723525199294
505,14,2023-07-24,1,0.010848547562938893
131,416,2023-12-01,1,0.09569969194641817
659,592,2023-04-08,1,0.005260178400926675
523,387,2023-05-17,2,0.0004693890669606016
527,673,2023-05-31,2,0.09092731309329162
724,241,2024-03-01,2,0.04619372892184333
472,329,2023-10-01,2,0.026215178146872034
18,926,2023-09-10,3,0.04325433100592521
676,935,2024-01-19,1,0.007190025469717299
819,253,2023-12-13,1,0.09385136219741991
93,17,2023-06-06,2,0.050271015544037324
84,970,2023-09-11,3,0.09815568392579854
958,343,2023-07-23,2,0.09555154738588811
751,271,2024-02-13,1,0.016781557182183215
693,4,2023-08-04,2,0.057477026379104595
127,178,2023-12-09,2,0.025952646838758066
4,529,2023-06-24,3,0.005536339775692545
656,844,2024-03-18,3,0.039643780379567894
849,340,2024-03-12,1,0.03721564215100931
777,126,2023-07-04,1,0.07451503482194359
881,26,2023-09-01,3,0.0008152936548852852
41,318,2024-01-30,3,0.0643159112439202
460,551,2023-06-22,3,0.04887020348517748
279,560,2024-03-23,2,0.07409352759846394
527,486,2023-10-25,1,0.007258076569204453
690,105,2023-05-30,2,0.07116388265142047
970,146,2023-08-30,2,0.06830854537967232
242,471,2024-02-23,2,0.0340771772781164
93,831,2024-02-05,2,0.05006043119847479
336,304,2023-05-15,3,0.03237215225783698
835,266,2023-11-09,1,0.07781859727381264
134,231,2023-08-22,3,0.054897219968627335
208,632,2023-11-05,1,0.03343112831255941
219,970,2023-10-20,1,0.029474687985765458
894,410,2024-02-14,3,0.09951338661620432
527,227,2023-11-12,2,0.018751222212628572
207,758,2024-02-13,1,0.08587483878129308
916,964,2023-11-11,3,0.08439755749726206
837,455,2024-03-25,1,0.08500094003552433
832,479,2023-06-28,2,0.06178497566294965
7,984,2024-02-28,1,0.0041800801639729655
683,161,2023-09-22,3,0.08903697410494138
843,379,2023-09-08,1,0.03161525886828879
738,391,2024-01-01,1,0.04558689772513237
577,386,2024-02-19,3,0.07747411849032654
528,430,2024-02-06,3,0.017719992629015514
583,446,2024-01-03,1,0.0913033679966156
140,352,2023-11-18,2,0.05772333923264333
960,411,2024-03-17,1,0.09245336207135804
654,574,2023-06-09,3,0.07869583805958685
452,527,2023-05-19,3,0.00421939285342613
963,711,2023-07-03,3,0.06111022638312104
535,846,2023-04-29,3,0.07790439393108373
807,759,2024-03-04,2,0.014331892722662954
577,649,2023-10-23,2,0.011831272913325797
69,600,2023-07-05,3,0.06430181735537953
354,570,2023-05-27,3,0.033118872229813356
647,417,2024-04-02,2,0.045742629132128745
87,94,2024-03-12,1,0.014676965405501742
974,636,2023-05-03,2,0.015374603960928747
975,799,2023-10-18,2,0.0303068939511448
682,66,2023-11-12,1,0.05763528471963514
881,702,2023-06-28,3,0.056059578278067984
989,184,2023-09-06,2,0.046466741701964326
230,51,2024-02-12,2,0.0556040868949404
97,989,2023-05-17,1,0.008659350141810396
266,478,2023-11-12,2,0.011840094799001312
965,755,2023-12-04,2,0.044351490438691715
604,401,2023-08-03,2,0.035964674817007825
653,468,2023-08-18,3,0.0706154281718771
60,350,2024-01-11,3,0.05703798559843884
192,984,2023-12-07,3,0.016913725507248758
47,61,2024-03-01,1,0.027581721381564606
408,914,2023-04-15,3,0.07420349590160014
264,913,2023-07-17,2,0.06319567957990523
199,714,2023-07-30,2,0.058631547423577596
712,889,2023-06-21,1,0.05517660107938667
576,733,2023-10-05,1,0.05366061381409618
567,103,2023-10-22,2,0.09046261224292534
623,560,2023-04-26,1,0.04622719112406235
643,913,2023-09-01,2,0.035264526758423946
492,996,2024-02-26,2,0.03739877385578271
294,272,2023-06-10,3,0.09436212283062398
523,799,2023-07-05,3,0.0473477273800231
240,103,2023-06-26,2,0.06888892636811667
871,148,2023-08-20,3,0.08533018897713138
428,833,2023-12-01,1,0.004604206694988777
431,520,2023-10-28,1,0.06651494540539858
883,31,2023-10-05,2,0.07657969854305989
487,169,2023-09-18,3,0.0014156149621918136
681,30,2023-04-19,3,0.040675934866797325
758,11,2023-08-24,3,0.06797724696887661
2,762,2023-09-20,2,0.04705790726373791
583,26,2023-06-19,2,0.0117445429466578
173,424,2023-10-11,3,0.030430126364189215
646,913,2024-02-09,2,0.015697590872422663
368,937,2023-05-25,3,0.058182991151014496
377,944,2023-06-28,1,0.02723679179063946
154,12,2023-08-13,3,0.08449921246607135
864,87,2023-09-13,2,0.09597304420687386
129,862,2024-01-09,2,0.07287106325794697
77,679,2023-04-07,1,0.08092250971274134
86,982,2023-11-01,3,0.012148074176171232
314,842,2023-07-18,1,0.044769109892032304
624,996,2023-08-27,2,0.051245116930911584
195,9,2024-02-21,2,0.08078654841607102
897,15,2023-11-28,3,0.06946670346094146
215,74,2024-03-01,3,0.07841727407486708
683,282,2023-07-12,2,0.0005659137663052594
617,706,2023-07-07,1,0.050806178484057635
566,488,2023-07-17,2,0.08916193143887609
938,554,2023-12-13,3,0.07675288748813046
153,48,2024-01-12,1,0.09076314030747007
140,344,2023-09-22,2,0.010370439309069501
574,559,2023-06-14,3,0.03204184807846947
273,597,2023-12-15,2,0.04771085627855042
326,809,2024-03-13,3,0.0006661747429797305
193,308,2023-06-11,2,0.07457056563497072
540,750,2023-12-03,3,0.04882141414309406
506,97,2023-10-14,3,0.00289063028698231
611,381,2023-06-27,1,0.05212888217531667
720,810,2023-07-03,3,0.08555078732527283
876,80,2023-09-04,1,0.026351556427514168
686,474,2023-10-24,1,0.041638251161131117
572,925,2023-10-27,2,0.07929896453605956
240,521,2023-09-14,1,0.027185518472856718
623,905,2023-11-22,3,0.09752487363814277
446,710,2024-02-07,2,0.004689350966596073
746,896,2024-02-23,2,0.0614577040643193
5,677,2023-11-04,3,0.05453456598299683
434,246,2024-03-22,3,0.060703656837826594
265,586,2023-12-20,3,0.07859113690933628
175,236,2023-11-04,1,0.042959703214984914
765,898,2023-05-05,3,0.054585825496513946
